Task: 3, Test Name: Product Details Test, Locator: //div[@class='hamburger-box']/ancestor::a, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .custom-search-input, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .btn_search_mob, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .access_link, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .wishlist, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .cart_bt, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .cart_bt strong, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: #shoe_img, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Fail
Task: 3, Test Name: Product Details Test, Locator: .prod_info .icon-star, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .prod_info em, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product Details Test, Locator: .prod_info p small, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Fail
Task: 3, Test Name: Product Details Test, Locator: .prod_info p, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
